Alva						2	3		5
Pau						1	4		5
Arnay-le-Duc					4	1			5
Rogoźno					5				5
Inverness						3	2		5
Bern		1	1	1	2				5
Kortrijk				3	2				5
Bois-Colombes						5			5
La Madeleine								5	5
Déville-lès-Rouen		2				1	2		5
La Rochelle			1					4	5
Bayonne						2	2	1	5
Calais							5		5
Beaumont-la-Ferrière								5	5
Malo-les-Bains								5	5
Saint-Laurent-sur-Sèvre						1		4	5
Milwaukee						4	1		5
Saurat					5				5
Cognac				1	4				5
Sunbury-on-Thames	2	3							5
Colombes		2		2	1				5
Noailhac	5								5
Montmorency					4				4
Antony								4	4
Jersey City			4						4
Oakamoor				2	2				4
Allonne		3	1						4
Épernay								4	4
Semur-en-Auxois								4	4
Levallois-Perret			2	1	1				4
Betws-y-Coed				1	3				4
Dedham						4			4
Wayne					4				4
Lymington				1	3				4
Saint-Servan-sur-Mer						3	1		4
Reims						1	2	1	4
Basel			4						4
Choisy-le-Roi								4	4
Dunkirk						2	2		4
Asnières-sur-Seine							3	1	4
St Columb Major	2	2							4
Manchester								4	4
La Tour-de-Peilz								4	4
Cincinnati							3	1	4
Torquay							4		4
Dublin			4						4
Bremen				4					4
Saint-Cyr-l'École							2	2	4
Peckham				4					4
Florence				3					3
Pontoise						2		1	3
Meulan-en-Yvelines							3		3
Richmond		3							3
Pully							3		3
Büdesheim					3				3
Montreuil								3	3
Munich							2	1	3
Pont-l’Évêque					1		1	1	3
Dieulefit						1		2	3
Swansea			1	1	1				3
Groenendaal			3						3
Falmouth			1	2					3
Dreux							3		3
Lindfield		1	2						3
Ittre			3						3
Southport							3		3
Compiègne								3	3
Plumstead			2	1					3
Concordville							3		3
Strasbourg							1	2	3
Saint-Germain-en-Laye				1		1		1	3
Portsmouth		1					2		3
Malzéville			1			2			3
Taverny						1	2		3
Alexandria								3	3
Tourcoing								3	3
Letterkenny				3					3
Valence			3						3
Samara			1			2			3
Fontenay-Saint-Père			1	1	1				3
Olst-Wijhe		2		1					3
Brest				1	2				3
Bourg-la-Reine								3	3
Zanesville							3		3
Nonancourt						1	1	1	3
Hyères							2		2
Bloemendaal				2					2
Enfield		2							2
Buffalo							2		2
Lytham			2						2
Namur						2			2
Barnett	2								2
Burgess Hill				2					2
Bourges							2		2
Columbus					1	1			2
Saint-Maur							2		2
Kyiv					1	1			2
Saumur	2								2
Newport				2					2
Arras							2		2
Courbevoie						1	1		2
Menton	2								2
Nogent-sur-Marne							2		2
Budapest								2	2
Nyon							2		2
Vilvoorde						2			2
Boulogne-Billancourt							1	1	2
Bradford					2				2
Croydon		2							2
Saint-Nazaire								2	2
Cuisery								2	2
Salem							2		2
Cambridge				1			1		2
South Croydon		2							2
Camden							2		2
Ilfracombe				2					2
Hanau				1	1				2
Stockbridge								2	2
Leith						2			2
Sutton Coldfield								2	2
Les Aix-d'Angillon								2	2
Tonton			1	1					2
Château-Renard		2							2
Trieste					1			1	2
Liège								2	2
Montauban					2				2
Ayr						2			2
Vienne	2								2
Beauvais		1	1						2
Franklin							2		2
Lisbon						2			2
Montpellier							2		2
Lowell		1		1					2
Bonrepos	1	1							2
Luxembourg								2	2
Saint-Maclou	2								2
Gagny							1		1
Clevedon			1						1
Taunton					1				1
Antibes								1	1
Haywards Heath					1				1
Lingfield				1					1
Sablé-sur-Sarthe	1								1
Oakland							1		1
Merano		1							1
Béziers	1								1
Valenciennes								1	1
Saint-Cloud	1								1
Northampton							1		1
Jeumont								1	1
Gray	1								1
Overveen			1						1
Sydney					1				1
Saint-Gratien							1		1
The Hague		1							1
Brighton								1	1
Graz					1				1
Clamart				1					1
Fleurier	1								1
Saint-MandÃ©						1			1
Demigny								1	1
La Chaux-de-Fonds					1				1
Alderley	1								1
Saint-Maur-des-Fossés	1								1
Nottingham								1	1
Angers	1								1
Windsor					1				1
Brighton and Hove						1			1
Bratislava					1				1
Hampstead					1				1
Menneval							1		1
Saintes						1			1
Tarare								1	1
Cobham, Virginia								1	1
Batumi					1				1
Chervinges				1					1
Pula					1				1
Le Creusot							1		1
Leeds				1					1
Albi			1						1
Milan		1							1
Hulst	1								1
Troyes					1				1
Maisons-Laffitte					1				1
Guérigny								1	1
Sillery	1								1
Velichov								1	1
Darmstadt	1								1
Verneuil-sur-Avre								1	1
Abbeville								1	1
Veurne						1			1
Groß Borstel				1					1
Bayeux								1	1
Carcassonne						1			1
Henley-on-Thames				1					1
Giarre					1				1
Muzillac	1								1
Port-Launay								1	1
Wimbledon								1	1
Porto	1								1
Worthing						1			1
Stuttgart				1					1
Ypres						1			1
Mehun-sur-Yèvre							1		1
Moreira								1	1
Melbourne				1					1
Castelnau								1	1
(vide)									
Total général	503	622	654	579	681	547	753	694	5033
